OM azonosító;Intézmény megnevezése
037081;Csóthi Géza Általános Iskola
037085;Lovászpatonai Bánki Donát Általános Iskola
037089;Mezőlaki Arany János Általános Iskola
037093;Nemesszalóki Napköziotthonos Óvoda
037095;Kastély Német Nemzetiségi Nyelvoktató Általános Iskola
037096;Pápateszéri Általános Iskola
037098;Ugodi Német Nemzetiségi Nyelvoktató Általános Iskola és Alapfokú Művészeti Iskola
037100;Ihász Gábor Általános Iskola
037102;Csabrendeki Általános Iskola
037109;Tatay Sándor Általános Iskola
037115;Lesence Völgye Általános Iskola
037116;Művészetek Völgye Általános Iskola
037118;Nyirádi Erzsébet Királyné Általános Iskola
037119;Révfülöpi Általános Iskola
037120;Szigligeti Általános Iskola
037121;Csontváry Általános Iskola
037124;Ady Endre Német Nemzetiségi Nyelvoktató Általános Iskola és Alapfokú Művészeti Iskola
037125;Ősi Általános Iskola
037126;Tasner Antal Általános Iskola
037127;Berhidai II. Rákóczi Ferenc Német Nemzetiségi Nyelvoktató Általános Iskola
037130;Herendi Német Nemzetiségi Nyelvoktató Általános Iskola
037131;Nagyvázsonyi Kinizsi Pál Német Nemzetiségi Nyelvoktató Általános Iskola
037132;Nemesvámosi Petőfi Sándor Német Nemzetiségi Nyelvoktató Általános Iskola
037134;Szentgáli Lőrincze Lajos Általános Iskola
037137;Hajmáskéri Gábor Áron Általános Iskola
037140;Békefi Antal Általános Iskola
037141;Bakonyszentlászlói Szent László Általános Iskola
037142;Borzavár-Porvai Német Nemzetiségi Nyelvoktató Általános Iskola
037143;Csetényi Vámbéry Ármin Általános Iskola
037145;Jásdi Mesevár Óvoda
037152;Ányos Pál Német Nemzetiségi Nyelvoktató Általános Iskola
037158;Balatonkenesei Pilinszky János Általános Iskola és Alapfokú Művészeti Iskola
037160;Csajági Csicsergő Óvoda és Mini Bölcsőde
037162;Balatonfűzfői Irinyi János Általános Iskola és Alapfokú Művészeti Iskola
037165;Magyar-Angol Tannyelvű Gimnázium és Kollégium
037166;Lóczy Lajos Gimnázium
037167;Kisfaludy Sándor Gimnázium, Kollégium és Alapfokú Művészeti Iskola
037169;Lovassy László Gimnázium
037170;Vetési Albert Gimnázium
037171;III. Béla Gimnázium, Művészeti Szakgimnázium és Alapfokú Művészeti Iskola
037172;Pápai Petőfi Sándor Gimnázium
037178;Pápai Református Kollégium Gimnáziuma, Művészeti Szakgimnáziuma és Diákotthona
037181;Ajkai Bródy Imre Gimnázium
037185;Türr István Gimnázium és Kollégium
037206;Noszlopy Gáspár Gimnázium és Kollégium
037234;Batsányi János Gimnázium és Kollégium
037251;Keszthelyi Életfa Óvoda és Bölcsőde
037259;LENTI MESEVÁR ÓVODA
037267;Mosolyvár Alapítványi Óvoda
037277;Tápiószelei Csicserke Óvoda-Bölcsőde
037281;Tóalmási Mesevár Óvoda
037284;DÉLEGYHÁZI NAPSUGÁR ÓVODA
037286;Dömsödi Nagyközségi Óvoda és Bölcsőde
037287;Dunavarsányi Óvoda-Bölcsőde
037290;Dobó Sándor Óvoda
037292;MAJOSHÁZAI NAPRAFORGÓ ÓVODA
037296;SZIGETSZENTMÁRTONI GESZTENYÉS ÓVODA
037298;REGENBOGEN NÉMET NEMZETISÉGI ÓVODA-BÖLCSŐDE
037299;Ceglédi Református Általános Iskola és Óvoda
037300;Szent Kereszt Katolikus Általános Iskola és Óvoda
037301;Ceglédi Táncsics Mihály Általános Iskola
037302;Várkonyi István Általános Iskola
037313;Dunakeszi Bárdos Lajos Általános Iskola
037314;Dunakeszi Kőrösi Csoma Sándor Általános Iskola
037315;Dunakeszi Fazekas Mihály Német Nyelvoktató Nemzetiségi Általános Iskola
037319;Érdi Batthyány Sportiskolai Általános Iskola és Gimnázium
037320;Érdi Gárdonyi Géza Általános Iskola és Gimnázium
037321;Érdligeti Általános Iskola
037322;Érdi Kőrösi Csoma Sándor Általános Iskola
037323;Érdi Teleki Sámuel Általános Iskola
037325;Érdi Bolyai János Általános Iskola
037326;Marianum Német Nemzetiségi Nyelvoktató Általános Iskola és Gimnázium
037328;Gödöllői Petőfi Sándor Általános Iskola
037336;Nagykanizsa Központi Óvoda
037344;Zalaegerszegi Belvárosi I. Számú Óvoda
037346;Zalaegerszegi Kertvárosi Óvoda
037355;Zalaegerszegi Belvárosi II. Számú Óvoda
037357;Zalaegerszegi Landorhegyi Óvoda
037362;Szent Család Óvoda
037364;Zalaszentgróti Napköziotthonos Óvoda-Bölcsőde
037368;Letenyei Hóvirág Óvoda-Bölcsőde
037373;Gyenesdiási Bölcsőde és Óvoda
037377;Nemesbüki Óvoda
037409;Hahóti Napköziotthonos Óvoda
037411;Magyarszerdahelyi Napköziotthonos Óvoda
037415;Orosztonyi Napköziotthonos Óvoda
037422;Magyar Máltai Szeretetszolgálat Zalakomári Óvoda-Bölcsőde
037423;Napköziotthonos Óvoda Zalaszabar
037424;Zalaszentbalázsi Napköziotthonos Óvoda
037438;Nagykutasi Napköziotthonos Óvoda
037439;"Életfa" Nagylengyeli Óvoda-Bölcsőde
037446;Szentpéterúri Mazsola Óvoda-Bölcsőde
037451;Zalalövői Borostyán Óvoda és Mini Bölcsőde
037455;Zalaszentgyörgyi Napköziotthonos Óvoda
037466;Pipitér-kert Óvoda
037483;Pusztamagyaródi Kenyeres Elemér Általános Iskola
037489;Egry József Általános Iskola és Alapfokú Művészeti Iskola
037491;Csány-Szendrey Általános Iskola és Alapfokú Művészeti Iskola
037492;Család Általános Iskola és Alapfokú Művészeti Iskola
037494;Életfa Általános és Alapfokú Művészeti Iskola
037498;Kőrösi Csoma Sándor-Péterfy Sándor Általános Iskola
037504;Rozgonyi Úti Általános Iskola
037506;Kiskanizsai Általános Iskola
037507;Zrínyi Miklós Magyar-Angol Két Tanítási Nyelvű Általános Iskola
037508;Palini Inkey Boldizsár Általános Iskola
037509;Miklósfai Általános Iskola
037510;Hevesi Sándor Általános Iskola
037513;Piarista Általános Iskola, Gimnázium, Kollégium és Boldog Donáti Celesztina Óvoda
037515;Zalaegerszegi Öveges József Általános Iskola
037516;Izsák Imre Általános Iskola
037518;Landorhegyi Sportiskolai Általános Iskola
037521;Zalaegerszegi Eötvös József Általános Iskola
037523;Zalaegerszegi Petőfi Sándor Magyar-Angol Két Tanítási Nyelvű Általános Iskola
037526;Mindszenty József Általános Iskola, Gimnázium és Kollégium
037530;Letenyei Andrássy Gyula Általános Iskola
037531;Dr. Szántó Imre Általános Iskola
037532;Szabó István Általános Iskola
037534;Kárpáti János Általános Iskola és Alapfokú Művészeti Iskola
037535;Hévízi Illyés Gyula Általános Iskola és Alapfokú Művészeti Iskola
037538;Sármelléki Általános Iskola
037541;Zalaapáti Gábor Áron Általános Iskola
037544;Kerkai Jenő Általános Iskola
037547;Buda Ernő Körzeti Általános Iskola
037554;Zalabaksai Napköziotthonos Óvoda
037557;Térségi Általános Iskola, Szakképző Iskola és Kollégium
037559;FELSŐRAJKI ARANY JÁNOS NAPKÖZIOTTHONOS ÓVODA
037561;Galamboki Általános Iskola
037563;Gelsei Weöres Sándor Általános Iskola
037567;Nagyrécsei Körzeti Általános Iskola
037572;Királyi Pál Általános Iskola
037574;Zalakarosi Móra Ferenc Általános Iskola és Alapfokú Művészeti Iskola
037575;Somssich Antal Általános Iskola
037576;Zalaszentbalázsi Petőfi Sándor Általános Iskola
037578;Csertán Sándor Általános Iskola
037579;Bagodi Fekete István Általános Iskola
037580;Göcsej Kapuja Bak Általános Iskola
037582;Bocföldei Körzeti Általános Iskola
037584;Gárdonyi Géza és Szegi Suli Általános Iskola
037585;Egervári László Általános Iskola
037586;Dr. Papp Simon Általános Iskola
037589;Nagykapornaki Makovecz Imre Általános Iskola
037591;Pacsai Általános Iskola
037592;Pókaszepetki Festetics Kristóf Általános Iskola
037596;Söjtöri Deák Ferenc Általános Iskola
037597;Szentpéterúri Általános Iskola
037598;Teskándi Csukás István Általános Iskola
037599;Tófeji Kincskereső Általános Iskola
037602;Zalalövői Általános Iskola
037612;Fazekas József Általános Iskola
037613;Türjei Szent László Általános Iskola
037614;Zalabéri Általános Iskola
037621;Becsehelyi Schmidt Egon Általános Iskola
037626;Muraszemenyei Általános Iskola
037628;Tótszerdahelyi Zrínyi Katarina Horvát Általános Iskola
037629;Borsfai Fekete István Általános Iskola
037630;Zalaegerszegi Kölcsey Ferenc Gimnázium
037631;Lenti Általános Iskola és Gimnázium
037632;Zalaegerszegi Zrínyi Miklós Gimnázium
037634;Keszthelyi Vajda János Gimnázium
037635;Batthyány Lajos Gimnázium
037636;Dr. Mező Ferenc Gimnázium
037640;Hévízi Bibó István Gimnázium és Kollégium
037641;Zalaegerszegi Ady Endre Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
037690;Széchenyi Úti Óvoda
037695;Pesti Úti Óvoda
037698;Lövész Utcai Óvoda
037704;Dunakeszi Óvodai és Humán Szolgáltató Központ és Könyvtár
037707;Gödöllői Erkel Ferenc Általános Iskola
037708;Gödöllői Damjanich János Általános Iskola
037709;Gödöllői Hajós Alfréd Általános Iskola
037713;Gödöllői Waldorf Általános Iskola és Alapfokú Művészeti Iskola
037714;Szent Imre Katolikus Általános Iskola és Óvoda
037715;Arany János Református Általános Iskola és Óvoda
037716;Nagykőrösi Kossuth Lajos Általános Iskola
037717;Nagykőrösi Petőfi Sándor Általános Iskola
037718;Nagykőrösi II. Rákóczi Ferenc Általános Iskola
037722;Nagykőrösi Kolping Katolikus Általános Iskola és Szakgimnázium
037723;Szentendrei Barcsay Jenő Általános Iskola
037725;Izbégi Általános Iskola
037726;Templomdombi Általános Iskola
037728;AGY Tanoda Magyar-Angol Két Tanítási Nyelvű Általános Iskola
037729;Szent András Katolikus Általános Iskola és Óvoda
037730;Ferences Gimnázium
037731;Váci Árpád Fejedelem Általános Iskola
037732;Váci Juhász Gyula Általános Iskola
037733;Váci Földváry Károly Általános Iskola
037734;Karolina Katolikus Általános Iskola Székesegyházi Kórusiskola és Alapfokú Művészeti Iskola
037735;Váci Petőfi Sándor Általános Iskola
037736;Váci Radnóti Miklós Általános Iskola
037737;Budaörsi 1. Számú Általános Iskola
037738;Budaörsi Herman Ottó Általános Iskola
037740;Kesjár Csaba Általános Iskola
037742;Budaörsi Illyés Gyula Gimnázium, Technikum és Szakképző Iskola
037743;Csillagösvény Waldorf Általános Iskola és Alapfokú Művészeti Iskola
037744;Mindszenty József Római Katolikus Óvoda és Nyelvoktató Német Nemzetiségi Általános Iskola
037745;Szigetszentmiklósi Bíró Lajos Általános Iskola
037746;Szigetszentmiklósi Ádám Jenő Általános Iskola és Alapfokú Művészeti Iskola
037749;Dabasi II. Rákóczi Ferenc Általános Iskola
037750;Dabasi Kossuth Lajos Általános Iskola
037754;Monori Kossuth Lajos Általános Iskola
037755;Monori Jászai Mari Általános Iskola
037756;Nemzetőr Általános Iskola
037757;Monorierdei Fekete István Általános Iskola
037758;Monori Ady Úti Általános Iskola
037761;Mátray Gábor Általános Iskola
037764;Ráckevei Árpád Fejedelem Általános Iskola
037766;Szent Imre Katolikus Általános Iskola
037767;Százhalombattai 1. Számú Általános Iskola
037768;Eötvös Loránd Református Két Tanítási Nyelvű Általános Iskola
037770;Százhalombattai Kőrösi Csoma Sándor Sportiskolai Általános Iskola
037771;Gyulai Gaál Miklós Általános Iskola és Alapfokú Művészeti Iskola
037773;Tessedik Sámuel Általános Iskola
037775;Budapest II. Kerületi Móricz Zsigmond Gimnázium
037802;ELTE Radnóti Miklós Gyakorló Általános Iskola és Gyakorló Gimnázium
037828;Péter András Gimnázium és Kollégium
037857;Székesfehérvári Vasvári Pál Gimnázium
037878;Szent József Óvoda, Általános Iskola, Gimnázium és Kollégium
037882;Dorogi Zsigmondy Vilmos Magyar-Angol Két Tanítási Nyelvű Gimnázium
037923;Hajnóczy József Gimnázium, Humán Szakgimnázium és Kollégium
037935;Thuri György Gimnázium és Alapfokú Művészeti Iskola
037953;Kiskunhalasi Bernáth Lajos Kollégium
038026;Budapest V. Kerületi Szemere Bertalan Általános Iskola
038044;Hosztják Albert Általános Iskola
038071;Thomas Mann Gymnasium-Deutsche Schule Budapest, Budapesti Német Általános Iskola és Gimnázium
038090;Fényi Gyula Jezsuita Gimnázium, Kollégium és Óvoda
038115;Bárdos László Gimnázium
038127;Premontrei Szent Norbert Gimnázium, Egyházzenei Szakgimnázium, Alapfokú Művészeti Iskola és Kollégium
038139;Lehel Vezér Gimnázium
038156;Padányi Biró Márton Római Katolikus Gimnázium, Technikum és Általános Iskola
038203;ASZÓDI JAVÍTÓINTÉZET, ÁLTALÁNOS ISKOLA, SZAKISKOLA ÉS SPECIÁLIS SZAKISKOLA
038267;Pentelei Mentálhigiénés Általános Iskola, Szakképző Iskola, Szakiskola és Gimnázium
038271;Nyíradonyi Arany János Általános Iskola
038281;Kós Károly Művészeti Szakgimnázium, Technikum és Kollégium
038346;Magyar Máltai Szeretetszolgálat Tiszabői Általános Iskola
038386;Budapest III. Kerületi Csalogány Óvoda, Általános Iskola, Készségfejlesztő Iskola, Egységes Gyógypedagógiai Módszertani Intézmény, Kollégium és Gyermekotthon
038387;Palotás Gábor Általános Iskola
038388;Budapest III. Kerületi Óvoda, Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038389;Budapest III. Kerületi Szent Miklós Óvoda, Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény, Kollégium és Gyermekotthon
038396;Nyíregyházi Göllesz Viktor Szakiskola, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038397;Nyíregyházi Bárczi Gusztáv Általános Iskola, Készségfejlesztő Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
038402;Kádas György Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Kollégium
038405;Liget Úti Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola és Készségfejlesztő Iskola
038406;Révay György Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Kollégium
038408;Újpesti Óvoda, Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038410;ELTE Bárczi Gusztáv Gyakorló Általános Iskola
038411;Budapesti Bárczi Gusztáv Óvoda, Általános Iskola és Készségfejlesztő Iskola
038413;Józsefvárosi Egységes Gyógypedagógiai Módszertani Intézmény és Általános Iskola
038414;Dió Általános Iskola, Készségfejlesztő Iskola, Egységes Gyógypedagógiai Módszertani Intézmény és Kollégium
038415;Budapest X. Kerületi Éltes Mátyás Általános Iskola és Kollégium
038416;Hallássérültek Óvodája, Általános Iskolája, Szakiskolája, Egységes Gyógypedagógiai Módszertani Intézménye és Kollégiuma
038417;Ferencvárosi Komplex Óvoda, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038418;Kőbányai Komplex Óvoda, Általános Iskola, Készségfejlesztő Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038419;Újbudai Montágh Imre Általános Iskola, Óvoda, Fejlesztő Nevelés-oktatást Végző Iskola, Készségfejlesztő Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038420;Fekete István Óvoda, Általános Iskola, Szakiskola és Egységes Gyógypedagógiai Módszertani Intézmény
038421;Gennaro Verolino Óvoda, Általános Iskola, Készségfejlesztő Iskola és Kollégium
038422;Semmelweis Egyetem Pető András Gyakorló Általános Iskolája, Szakiskolája, Egységes Konduktív Pedagógiai Módszertani Intézménye és Kollégiuma
038423;Prizma Általános Iskola és Óvoda, Egységes Gyógypedagógiai Módszertani Intézmény
038424;Zuglói Benedek Elek Óvoda, Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038425;Mozgásjavító Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Gimnázium, Fejlesztő Nevelés-Oktatást Végző Iskola és Kollégium
038426;Gyengénlátók Általános Iskolája, Egységes Gyógypedagógiai Módszertani Intézménye és Kollégiuma
038427;Dr. Török Béla Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola és Kollégium
038428;Vakok Egységes Gyógypedagógiai Módszertani Intézménye, Óvodája, Általános Iskolája, Szakiskolája, Készségfejlesztő Iskolája,  Fejlesztő Nevelés-Oktatást Végző Iskolája, Kollégiuma és Gyermekotthona
038431;Gyurkovics Tibor Óvoda, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038432;Budapest XVIII. Kerületi SOFI Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038433;Kispesti Móra Ferenc Óvoda, Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038434;Benedek Elek Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Készségfejlesztő Iskola és Szakiskola
038435;Mészáros Jenő Óvoda, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038436;Budatétényi Kozmutza Flóra Óvoda, Általános Iskola, Szakiskola, Egységes Gyógypedagógiai Módszertani Intézmény
038437;Autizmus Alapítvány Általános Iskolája
038438;GYERMEKVÉDELMI KÖZPONT, ÁLTALÁNOS ISKOLA, SZAKISKOLA, KÉSZSÉGFEJLESZTŐ ISKOLA VESZPRÉM VÁRMEGYE
038439;Gyermekotthon, Óvoda, Általános Iskola és Készségfejlesztő Iskola Pest Vármegye
038440;Vakok Boldog Batthyány-Strattmann László Katolikus Szociális Intézménye, Óvoda, Általános Iskola és Különleges Gyermekotthon
038441;Komlói Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Készségfejlesztő Iskola, Szakiskola és Kollégium
038442;Meixner Ildikó Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Készségfejlesztő Iskola, Szakiskola és Kollégium
038444;Pécsi Éltes Mátyás Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Készségfejlesztő Iskola és Kollégium
038450;Bajai Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-oktatást Végző Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
038451;Kalocsai Nebuló Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-oktatást Végző Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038452;Kecskeméti Óvoda, Általános Iskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038454;Kiskőrösi Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola és Készségfejlesztő Iskola
038456;Kiskunhalasi Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda és Általános Iskola
038458;Duna Menti Egységes Gyógypedagógiai Módszertani Intézmény, Általános Iskola, Szakiskola és Kollégium
038471;Miskolci Éltes Mátyás Óvoda, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038477;Borsod-Abaúj-Zemplén Vármegyei Óvoda, Általános Iskola, Készségfejlesztő Iskola, Fejlesztő Nevelést-Oktatást Végző Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
038484;Kozmutza Flóra Óvoda, Általános Iskola, Szakiskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038489;Móra Ferenc Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038490;Móri Gárdonyi Géza, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038491;Arany János Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-oktatást Végző Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038494;Kossuth Zsuzsanna Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038497;Pápay Ágoston Általános Iskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola és Kollégium
038499;Arany János Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola és Készségfejlesztő Iskola
038501;Mosonmagyaróvári Éltes Mátyás Általános Iskola, Óvoda, Készségfejlesztő Iskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038502;Soproni Kozmutza Flóra Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola és Készségfejlesztő Iskola
038503;Doborjáni Ferenc Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium
038504;Tóth Antal Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Kollégium
038505;Radó Tibor Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038506;Bárczi Gusztáv Óvoda, Általános Iskola, Készségfejlesztő Iskola, Kollégium
038512;Dr. Molnár István Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános és Készségfejlesztő Iskola, Kollégium
038514;Debreceni Bárczi Gusztáv Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Készségfejlesztő Iskola és Kollégium
038515;Hallássérültek Egységes Gyógypedagógiai Módszertani Intézménye, Óvoda, Általános Iskola és Kollégium
038517;Debrecen-Nagytemplomi Református Egyházközség Immánuel Otthona, Általános Iskolája, Fejlesztő Nevelés-Oktatást Végző Iskolája és Készségfejlesztő Iskolája
038521;Egri Szalaparti Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-oktatást Végző Iskola és Kollégium
038522;Egri Mlinkó István Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola és Kollégium
038523;Gyöngyösi Petőfi Sándor Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola és Készségfejlesztő Iskola
038524;Hatvani Lesznai Anna Óvoda, Általános Iskola, Készségfejlesztő Iskola, Fejlesztő Nevelést - Oktatást Végző Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038525;Benedek Elek Egységes Gyógypedagógiai Módszertani Intézmény, Általános Iskola, Szakiskola és Fejlesztő Nevelés-Oktatást Végző Iskola
038526;Esztergomi Montágh Imre Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Fejlesztő Nevelés-Oktatást Végző Iskola
038528;Benedek Elek Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038530;Új Út Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium, Fejlesztő Nevelés-Oktatást Végző Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038534;Pásztói Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-oktatást Végző Iskola és Kollégium
038535;Illyés Gyuláné Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Fejlesztő Nevelés-oktatást Végző Iskola és Készségfejlesztő Iskola
038539;Losontzi István Egységes Gyógypedagógiai Módszertani Intézmény, Szakiskola, Készségfejlesztő Iskola és Kollégium
038540;Érdi Móra Ferenc Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038541;Gödöllői Montágh Imre Általános Iskola, Szakiskola és Készségfejlesztő Iskola
038542;Dalmady Győző Óvoda, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038547;Abonyi Montágh Imre Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda és Általános Iskola
038549;Gyömrői Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium és Fejlesztő Nevelés - Oktatást Végző Iskola
038551;Bárczi Gusztáv Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038552;Somogy Vármegyei Duráczky József Óvoda, Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény és Kollégium
038556;Somogyvári Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038562;Dr. Nagy László Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Beszédjavító Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium
038566;Rum-Kastély Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Készségfejlesztő Iskola és Kollégium
038567;Molnár Gábor Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038568;Vajda Márta Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
038570;Szász Márton Általános Iskola és Fejlesztő Nevelés-Oktatást Végző Iskola
038571;Bartos Sándor Óvoda, Általános Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038572;Bárczi Gusztáv Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038576;Zöldmező Utcai Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
038577;Móricz Zsigmond Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
038579;Szeliánszky Márta Általános Iskola, Készségfejlesztő Iskola, Szakiskola és Egységes Gyógypedagógiai Módszertani Intézmény
038580;Koncz Dezső Óvoda, Általános Iskola, Kollégium, Készségfejlesztő Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038582;Zalaegerszegi Nyitott Ház Óvoda, Általános Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola és Egységes Gyógypedagógiai Módszertani Intézmény
038585;Nyírbátori Éltes Mátyás Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038685;Serényi László Általános Iskola és Gimnázium
038726;Cecei Illyés Gyula Általános Iskola
038740;Kozmutza Flóra Óvoda, Általános Iskola, Készségfejlesztő Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
038789;Éltes Mátyás Általános Iskola és Kollégium Egységes Gyógypedagógiai Módszertani Intézmény
038806;Barcsi Szivárvány Óvoda, Általános Iskola, Készségfejlesztő Iskola, Fejlesztő Nevelés-Oktatást Végző Iskola, Kollégium, Egységes Gyógypedagógiai Módszertani Intézmény
038816;Budapest-Kispest-Központi Református Egyházközség Ady Endre Általános Iskolája
038863;Pocsaji Lorántffy Zsuzsanna Általános Iskola
038923;Süttői II. Rákóczi Ferenc Általános Iskola
038948;Bleyer Jakab Német Nemzetiségi Általános Iskola
038950;Gyóni Géza Általános Iskola
039054;Piricsei Eötvös József Általános Iskola
039086;Kunmadarasi Általános Iskola
