OM azonosító;Intézmény megnevezése
028395;Szeberényi Gusztáv Adolf Evangélikus Gimnázium, Technikum, Szakgimnázium, Általános Iskola, Óvoda, Alapfokú Művészeti Iskola és Kollégium
028396;Jankó János Általános Iskola és Gimnázium
028409;Békéscsabai Bartók Béla Művészeti Szakgimnázium és Alapfokú Művészeti Iskola
028425;Fő téri Általános Iskola
028452;Esély Pedagógiai Központ Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
028456;Szegedi Kis István Református Gimnázium, Technikum, Általános Iskola, Óvoda és Kollégium
028475;Schéner Mihály Evangélikus Általános Iskola
028490;Kazincbarcikai Összevont Óvodák
028500;TISZAÚJVÁROSI NAPKÖZI OTTHONOS ÓVODA
028507;Mezőkövesdi Óvoda-Bölcsőde és Élelmezési Központ
028516;Ózdi Városi Óvodák
028517;Farkaslyuki Napköziotthonos Óvoda
028529;SÁROSPATAKI CAROLINA ÓVODA ÉS BÖLCSŐDE
028535;SÁTORALJAÚJHELYI HÉTSZÍNVIRÁG ÓVODA SZLOVÁK ÉS NÉMET NEMZETISÉGI ÓVODA, BÖLCSŐDE
028547;PUTNOKI SOLDOS EMÍLIA ÓVODA-BÖLCSŐDE
028554;SZIKSZÓI VÁROSI ÓVODA ÉS BÖLCSŐDE
028555;Bethánia Napköziotthonos Óvoda
028572;Miskolci Integrált Óvodai Intézmény
028611;Szent Miklós Görögkatolikus Óvoda és Bölcsőde
028614;Napközi Otthonos Óvoda
028623;Forrói Napközi Otthonos Óvoda és Eszterlánc Bölcsőde
028629;HERNÁDVÉCSEI NAPSUGÁR ÓVODA
028632;Ináncsi Óvoda-Bölcsőde
028634;KÁZSMÁRKI SZIVÁRVÁNY ÓVODA-BÖLCSŐDE ÉS KONYHA
028636;Mérai Óvoda
028637;Novajidrányi Csicsergő Óvoda
028638;Perei Napközi-otthonos Óvoda és Mini Bölcsőde
028640;SZALASZENDI NAPKÖZI OTTHONOS ÓVODA ÉS FŐZŐKONYHA
028655;Bánhorváti Szivárvány Óvoda-Bölcsőde és Szociális Konyha
028656;DÉDESTAPOLCSÁNYI HÉTSZÍNVIRÁG ÓVODA, MINI BÖLCSŐDE ÉS KONYHA
028658;Felsőnyárádi Nyárfácska Óvoda
028662;KURITYÁNI KISVAKOND ÓVODA
028669;Sajókazai Gézengúz Óvoda-Bölcsőde
028680;JÁKFALVAI SZÁZSZORSZÉP ÓVODA
028682;Geleji Tündérkert Óvoda és Bölcsőde
028685;HEJŐPAPI HÉTSZÍNVIRÁG ÓVODA
028690;Sajószögedi Általános Művelődési Központ- Család és Gyermekjóléti Szolgálat - Konyha - Művelődési Ház
028694;Tiszatarjáni Micimackó Napközi Otthonos Óvoda és Bölcsőde
028705;EGERLÖVŐ-BORSODIVÁNKA NAPKÖZIOTTHONOS ÓVODA
028707;Mezőkeresztesi Harmatcsepp Óvoda és Bölcsőde
028713;Szentistváni Gézengúz Óvoda
028716;TIBOLDDARÓCI MESEERDŐ ÓVODA ÉS KÖZPONTI KONYHA
028719;Fekete István Óvoda és Bölcsőde
028720;ALSÓZSOLCAI 2. SZ. ÓVODA ÉS KONYHA
028721;ARNÓTI NAPKÖZI OTTHONOS ÓVODA ÉS MINI BÖLCSŐDE
028722;Hernád Óvoda-Bölcsőde, Napközi konyha
028725;Emődi Gyermekálom Óvoda és Bölcsőde
028728;GESZTELYI "GYERMEKÁLOM" NAPKÖZI-OTTHONOS ÓVODA
028736;Dargay Attila Gyermekvarázs Óvoda és Bölcsőde
028739;PITYPALATTY-VÖLGYI CSICSERGŐ ÓVODA
028743;SAJÓECSEGI "PITYPANG" ÓVODA ÉS MINI BÖLCSŐDE
028745;SAJÓLÁDI GYÖNGYSZEM ÓVODA, BÖLCSŐDE ÉS KONYHA
028746;Sajóvámosi Kincses Sziget Óvoda, Bölcsőde és Konyha
028748;SAJÓPÁLFALAI VACKOR ÓVODA ÉS MINI BÖLCSŐDE
028751;Varbói Napközi Otthonos Óvoda
028761;Bársonyos Óvoda és Bölcsőde
028764;Arlói Tengerszem Óvoda
028767;BORSODBÓTAI NAPKÖZI OTTHONOS ÓVODA ÉS KONYHA
028771;Csokvaomány Óvoda és Konyha és Mini Bölcsőde
028776;Sajóvelezdi Napközi Otthonos Óvoda
028777;Sátai Málvölgyi Óvoda, Bölcsőde és Konyha
028787;Kenézlői Óvoda és Konyha
028791;TOLCSVAI ÓVODA
028815;Abaújszántói Óvoda, Bölcsőde és Konyha
028817;BODROGKERESZTÚRI NYITNIKÉK ÓVODA, BÖLCSŐDE ÉS KONYHA
028823;Mádi Napköziotthonos Óvoda, Bölcsőde és Konyha
028824;MACKÓ KUCKÓ BÖLCSŐDE ÉS NAPKÖZIOTTHONOS ÓVODA
028827;PRÜGYI MESEVÁR ÓVODA, BÖLCSŐDE ÉS KONYHA
028829;TAKTAHARKÁNYI SZIVÁRVÁNY ÓVODA ÉS BÖLCSŐDE
028832;Kikelet Napköziotthonos Óvoda és Bölcsőde, Konyha és Étkezde
028835;TISZALÚCI ÖNÁLLÓ NAPKÖZI OTTHONOS ÓVODA ÉS BÖLCSŐDE
028840;Alsódobszai Óvoda, Mini Bölcsőde és Konyha
028843;BÓDVASZILASI NAPKÖZIOTTHONOS ÓVODA ÉS KONYHA
028844;BOLDVAI MESEVÁR ÓVODA-BÖLCSŐDE
028846;HANGÁCSI ÓVODA
028848;PERKUPAI PITYPANG ÓVODA
028851;Assisi Szent Klára Római Katolikus Óvoda
028866;Serényfalvai Játéksziget Óvoda és Konyha
028871;Encsi Zrínyi Ilona Általános Iskola
028880;Kazincbarcikai Pollack Mihály Általános Iskola
028892;Tiszaújvárosi Hunyadi Mátyás Általános Iskola és Alapfokú Művészeti Iskola
028895;Szent István Katolikus Általános Iskola és Óvoda
028899;Ózdi Árpád Vezér Általános Iskola
028901;Csépányi Általános Iskola
028902;Ózdi Apáczai Csere János Általános Iskola
028903;Farkaslyuki Általános Iskola
028904;Ózdi Petőfi Sándor Általános Iskola
028905;Sajóvárkonyi Általános Iskola
028906;Újváros Téri Általános Iskola
028907;Vasvár Úti Általános Iskola
028908;Bolyky Tamás Általános Iskola
028937;Péczeli József Általános Iskola és Alapfokú Művészeti Iskola
028945;Tokaji II. Rákóczi Ferenc Tehetséggondozó Általános Iskola
028948;Bársony János Római Katolikus Általános Iskola
028949;Miskolci Kazinczy Ferenc Magyar-Angol Két Tanítási Nyelvű Általános Iskola
028952;Fazekas Utcai Általános Iskola és Alapfokú Művészeti Iskola
028953;Miskolci Szabó Lőrinc Általános Iskola
028954;Szalay Sámuel Református Két Tanítási Nyelvű Általános Iskola és Óvoda
028956;Miskolci Petőfi Sándor Általános Iskola
028961;Miskolci Arany János Általános Iskola és Alapfokú Művészeti Iskola
028965;Diósgyőri Nagy Lajos Király Általános Iskola
028972;Miskolci II. Rákóczi Ferenc Általános Iskola
028975;Miskolci Könyves Kálmán Általános Iskola és Alapfokú Művészeti Iskola
028978;Miskolci Szilágyi Dezső Általános Iskola
028980;Bulgárföldi Általános Iskola
028983;Miskolci Herman Ottó Általános Iskola és Alapfokú Művészeti Iskola
028985;Avastetői Általános Iskola és Alapfokú Művészeti Iskola
028988;Komlóstetői Református Általános Iskola
028992;Fráter György Katolikus Gimnázium és Kollégium
028993;Hámori Waldorf Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
028994;Nebuló Általános Iskola, Gimnázium, Technikum, Szakképző Iskola és Szakiskola
